,categories,cuisine
4987,"Food, Chicken Wings, Korean, Restaurants, Chicken Shop",Asian Cuisine
4988,"French, Restaurants, Southern",European Cuisine
4989,"Specialty Food, Indian, Ethnic Food, Food, Meat Shops, Halal, Pakistani, Restaurants",Asian Cuisine
4990,"American (New), Diners, American (Traditional), Restaurants, Cafes, Breakfast & Brunch",American Cuisine
4991,"Burgers, Restaurants, Food, Ice Cream & Frozen Yogurt, Desserts, Fast Food",American Cuisine
4992,"Restaurants, Comfort Food, Chinese, American (New), Mediterranean, Pasta Shops, Salad, Specialty Food, Food, Noodles, Italian, Asian Fusion",Asian Cuisine
4993,"Breakfast & Brunch, American (Traditional), Waffles, Sandwiches, American (New), Fast Food, Delis, Diners, Restaurants",American Cuisine
4994,"Pizza, Seafood, Restaurants, Mexican, Italian, Burgers, Salad, Greek, Sandwiches",South American Cuisine
4995,"Thai, Restaurants, Noodles, Soup",Asian Cuisine
4996,"Chinese, Restaurants, Asian Fusion, Szechuan",Asian Cuisine
4997,"Seafood, Vegetarian, Restaurants, Indian",Asian Cuisine
4998,"Restaurants, American (New), Burgers, Southern",American Cuisine
4999,"Restaurants, Delis, Italian",European Cuisine
5000,"Food, Burgers, Restaurants",American Cuisine
5001,"Chicken Shop, American (Traditional), Fast Food, Breakfast & Brunch, Chicken Wings, Restaurants",American Cuisine
5002,"Ice Cream & Frozen Yogurt, Shaved Ice, Food, Desserts, Mexican, Restaurants",South American Cuisine
5003,"Dim Sum, Noodles, Restaurants, Food, Cantonese, Chinese, Asian Fusion",Asian Cuisine
5004,"Specialty Schools, Cooking Schools, Education, Restaurants, Sandwiches, Thai",Asian Cuisine
5005,"Seafood, Pizza, Restaurants, Italian",European Cuisine
5006,"Restaurants, American (Traditional), Burgers, Fast Food",American Cuisine
5007,"Mexican, Restaurants, Salad, Soup",South American Cuisine
5008,"Burgers, Pizza, Restaurants",European Cuisine
5009,"Burgers, Southern, Restaurants, Breakfast & Brunch, American (Traditional)",American Cuisine
5010,"Restaurants, Ice Cream & Frozen Yogurt, Burgers, Food, American (Traditional), Diners, Breakfast & Brunch, American (New)",American Cuisine
5011,"Food, Restaurants, Mexican, Food Trucks",South American Cuisine
5012,"Coffee & Tea, Food, Internet Cafes, Cafes, Restaurants",Unknown
5013,"Food, Food Trucks, Restaurants, Tacos, Mexican",South American Cuisine
5014,"Restaurants, American (New), Mexican",South American Cuisine
5015,"Restaurants, American (New), Steakhouses",American Cuisine
5016,"Pizza, Italian, Restaurants, Burgers, Sandwiches",European Cuisine
5017,"Butcher, Farmers Market, Restaurants, Food Court, Food",Unknown
5018,"Food, Coffee & Tea, Sandwiches, Bakeries, Restaurants, Breakfast & Brunch, Cafes",American Cuisine
5019,"Restaurants, Steakhouses, Buffets, Brazilian",South American Cuisine
5020,"Desserts, Restaurants, Seafood, Food",Unknown
5021,"Coffee & Tea, Canadian (New), Cafes, Restaurants, Food",American Cuisine
5022,"Restaurants, Vegan, Vegetarian",Unknown
5023,"Restaurants, Chicken Wings, Mexican, Fast Food",South American Cuisine
5024,"Restaurants, Cafes, Breakfast & Brunch, Bakeries, Food",American Cuisine
5025,"American (Traditional), Restaurants, Breakfast & Brunch, Food, Coffee & Tea, Cafes",American Cuisine
5026,"Middle Eastern, Specialty Food, Halal, Food, Ethnic Food, Imported Food, Restaurants",Middle Eastern / African Cuisine
5027,"Desserts, Salad, Sandwiches, Food, Beer, Wine & Spirits, Restaurants",Unknown
5028,"Breakfast & Brunch, Food, American (Traditional), Ice Cream & Frozen Yogurt, Desserts, Restaurants, Coffee & Tea, Bakeries, Cafes",American Cuisine
5029,"Sandwiches, Salad, Fast Food, Restaurants",American Cuisine
5030,"Health & Medical, Pizza, Restaurants, Chiropractors",European Cuisine
5031,"Local Flavor, Restaurants, Thai",Asian Cuisine
5032,"Vegetarian, Restaurants, Wraps, Salad",Unknown
5033,"Food, Specialty Food, Ethnic Food, Chinese, Restaurants",Asian Cuisine
5034,"Argentine, Empanadas, Restaurants, Food",South American Cuisine
5035,"Hot Dogs, Food, Restaurants, Pretzels, Breakfast & Brunch",European Cuisine
5036,"Southern, Salad, Soup, Sandwiches, American (New), Restaurants, Delis, Chicken Shop",American Cuisine
5037,"Mediterranean, Salad, Sandwiches, Restaurants, Breakfast & Brunch",American Cuisine
5038,"Chicken Wings, Restaurants, Sandwiches, Pizza",European Cuisine
5039,"Breakfast & Brunch, American (New), Restaurants, Coffee & Tea, Food",American Cuisine
5040,"Restaurants, Italian, Sandwiches",European Cuisine
5041,"Breakfast & Brunch, Sandwiches, Restaurants, Bagels, Food, Cafes",American Cuisine
5042,"Seafood, Burgers, Restaurants",American Cuisine
5043,"Sandwiches, Restaurants, Breakfast & Brunch, American (New)",American Cuisine
5044,"Food, Restaurants, Ice Cream & Frozen Yogurt, Custom Cakes, Cupcakes, Bakeries",American Cuisine
5045,"Restaurants, Cafes, Ice Cream & Frozen Yogurt, Food",American Cuisine
5046,"Cheesesteaks, Chicken Wings, Food, Beer, Wine & Spirits, Restaurants, Sandwiches",American Cuisine
5047,"Mediterranean, Restaurants, Salad, Italian",European Cuisine
5048,"Delis, Breakfast & Brunch, Restaurants",American Cuisine
5049,"Tacos, Live/Raw Food, Mexican, Seafood, Burgers, Restaurants",South American Cuisine
5050,"Food, Pizza, Restaurants, Chicken Wings, Desserts",European Cuisine
5051,"Vegan, Restaurants, Fast Food, Cheesesteaks",American Cuisine
5052,"Nightlife, Seafood, Restaurants",Unknown
5053,"American (Traditional), Hot Dogs, Restaurants",American Cuisine
5054,"Food, Food Trucks, Mediterranean, Sandwiches, Restaurants, Burgers, Falafel",American Cuisine
5055,"Restaurants, Argentine, Food, Pizza, Empanadas, Burgers",South American Cuisine
5056,"Burgers, Restaurants, Fast Food, Tacos, Mexican, Breakfast & Brunch",South American Cuisine
5057,"Food, Bakeries, Restaurants, Cafes, Coffee & Tea",Unknown
5058,"Food, Cafeteria, Restaurants",Unknown
5059,"American (Traditional), Burgers, Restaurants, Steakhouses",American Cuisine
5060,"Restaurants, Fast Food, Burgers, Sandwiches",American Cuisine
5061,"Food, Asian Fusion, Chinese, Restaurants",Asian Cuisine
5062,"Food, Indian, Restaurants",Asian Cuisine
5063,"Restaurants, Italian, Chicken Wings, Pizza, Sandwiches",European Cuisine
5064,"American (Traditional), Fast Food, Restaurants, Chicken Wings, Chicken Shop, Breakfast & Brunch",American Cuisine
5065,"Restaurants, Sandwiches, Food, Breakfast & Brunch, Bakeries",American Cuisine
5066,"Asian Fusion, Fast Food, Chinese, Gluten-Free, Restaurants",Asian Cuisine
5067,"Buffets, Asian Fusion, Restaurants, Steakhouses",Asian Cuisine
5068,"Restaurants, American (Traditional), American (New), Salad, Pizza, Gluten-Free",European Cuisine
5069,"Tea Rooms, Vegan, Restaurants, Food",Unknown
5070,"Vegan, Gluten-Free, Restaurants, Bubble Tea, Salad, Tea Rooms, Food, Coffee & Tea",Unknown
5071,"Greek, Food, American (New), Specialty Food, Cafes, Restaurants, Breakfast & Brunch, Vegetarian, Gluten-Free, Diners, Burgers",European Cuisine
5072,"Restaurants, Chicken Shop, Chicken Wings, Salad, Fast Food",American Cuisine
5073,"Restaurants, Vietnamese, Cafes",Asian Cuisine
5074,"Diners, Cajun/Creole, Breakfast & Brunch, American (Traditional), Restaurants",American Cuisine
5075,"Fast Food, Burgers, American (New), Restaurants, Sandwiches",American Cuisine
5076,"Restaurants, Middle Eastern, Falafel, Bakeries, Food, Greek, Mediterranean",Middle Eastern / African Cuisine
5077,"New Mexican Cuisine, Restaurants, Mexican",South American Cuisine
5078,"Restaurants, Italian, Bakeries, Delis, Food",European Cuisine
5079,"Food, Sandwiches, Desserts, Restaurants",Unknown
5080,"Restaurants, Tacos, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food",South American Cuisine
5081,"Specialty Food, Ethnic Food, Restaurants, Italian, Food",European Cuisine
5082,"American (Traditional), Mediterranean, Restaurants",American Cuisine
5083,"Restaurants, Fast Food, Ice Cream & Frozen Yogurt, Food",American Cuisine
5084,"Ice Cream & Frozen Yogurt, Vietnamese, Desserts, Food, Coffee & Tea, Restaurants",Asian Cuisine
5085,"Seafood, Steakhouses, Restaurants, Breakfast & Brunch",American Cuisine
5086,"Latin American, Caribbean, Cuban, Restaurants",South American Cuisine
5087,"Restaurants, Asian Fusion, American (New)",Asian Cuisine
5088,"Food, Pretzels, Specialty Food, Restaurants, Hot Dogs, Bakeries",European Cuisine
5089,"Restaurants, Vegetarian, Vegan",Unknown
5090,"Fast Food, Italian, Vegetarian, Burgers, Vegan, Restaurants, Pizza, Chicken Wings",European Cuisine
5091,"Restaurants, Chinese, Chicken Shop, Seafood",Asian Cuisine
5092,"Restaurants, Dominican, Latin American, Caribbean",South American Cuisine
5093,"Restaurants, Chicken Wings, Fish & Chips, Sandwiches",Unknown
5094,"Bakeries, Kosher, Food, Restaurants, Coffee & Tea",Unknown
5095,"Restaurants, Burgers, Hot Dogs, Desserts, American (Traditional), Sandwiches, Food",American Cuisine
5096,"Indian, Breweries, Brewpubs, Food, Restaurants",Asian Cuisine
5097,"Restaurants, Cuban, Diners",South American Cuisine
5098,"Sandwiches, American (New), Restaurants, Pizza",European Cuisine
5099,"Seafood, Vegetarian, Asian Fusion, Restaurants, Chinese, Japanese",Asian Cuisine
5100,"American (New), Tacos, Mexican, Restaurants",South American Cuisine
5101,"Food, Restaurants, Mexican, Fast Food",South American Cuisine
5102,"Restaurants, Mediterranean, International Grocery, Specialty Food, Chicken Shop, Food",Unknown
5103,"Sandwiches, American (New), Restaurants",American Cuisine
5104,"Puerto Rican, Caribbean, Restaurants, Desserts, Food Trucks, Food",South American Cuisine
5105,"Food, Food Trucks, Restaurants, Caribbean, Puerto Rican",South American Cuisine
5106,"Breakfast & Brunch, Food, Diners, Ice Cream & Frozen Yogurt, Restaurants, American (New)",American Cuisine
5107,"Restaurants, Cambodian, Thai, Vietnamese, Asian Fusion",Asian Cuisine
5108,"Fast Food, Restaurants, Burgers, Breakfast & Brunch, American (New), Diners, American (Traditional)",American Cuisine
5109,"Restaurants, Bubble Tea, Patisserie/Cake Shop, Cafeteria, Coffee & Tea, Food, Cafes, Bakeries, Breakfast & Brunch",American Cuisine
5110,"Food, Restaurants, Ice Cream & Frozen Yogurt, Desserts",American Cuisine
5111,"Cafes, Coffee & Tea, Food, Restaurants, Italian, Local Flavor",European Cuisine
5112,"Soup, Creperies, American (New), Sandwiches, Salad, Restaurants",European Cuisine
5113,"Restaurants, Delis, Automotive, Sandwiches, Cafes, Auto Repair",Unknown
5114,"Restaurants, Mediterranean, Coffee & Tea, Food, Breakfast & Brunch",American Cuisine
5115,"Restaurants, Seafood, American (New)",American Cuisine
5116,"American (New), Restaurants, Local Flavor, Delis",American Cuisine
5117,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",Unknown
5118,"Restaurants, Gluten-Free, Pizza, Vegan, Fast Food",European Cuisine
5119,"Mexican, Tacos, Tex-Mex, Fast Food, Breakfast & Brunch, Restaurants",South American Cuisine
5120,"Restaurants, American (Traditional), Diners, Burgers, Fast Food, American (New), Breakfast & Brunch",American Cuisine
5121,"Asian Fusion, Chinese, Restaurants, Seafood",Asian Cuisine
5122,"Specialty Food, Ethnic Food, Vegetarian, Fast Food, Food, Restaurants, Indian",Asian Cuisine
5123,"Seafood Markets, Specialty Food, Restaurants, Food, Seafood, Grocery",Unknown
5124,"Specialty Food, Food, Sandwiches, Fruits & Veggies, Fast Food, Restaurants",American Cuisine
5125,"Restaurants, Food, Burgers, Coffee & Tea, Fast Food",American Cuisine
5126,"Seafood, Restaurants, Cajun/Creole, Salad",American Cuisine
5127,"Desserts, Restaurants, Italian, Food, Ice Cream & Frozen Yogurt",European Cuisine
5128,"Breakfast & Brunch, Restaurants, American (Traditional), Burgers, Food, Hot Dogs",American Cuisine
5129,"Fast Food, Sandwiches, Chicken Shop, Restaurants",American Cuisine
5130,"Kebab, Mediterranean, Middle Eastern, Lebanese, Restaurants, Greek, Food",Middle Eastern / African Cuisine
5131,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)",European Cuisine
5132,"Bakeries, Food, Latin American, Desserts, Restaurants",South American Cuisine
5133,"Restaurants, Pizza, American (Traditional), Food",European Cuisine
5134,"Restaurants, American (New), Southern, Chinese",Asian Cuisine
5135,"Food, Restaurants, Burgers, American (Traditional), American (New), Breakfast & Brunch",American Cuisine
5136,"Coffee & Tea, Breakfast & Brunch, Restaurants, American (New), Food",American Cuisine
5137,"Food, Grocery, Specialty Food, Sandwiches, American (Traditional), Butcher, Fish & Chips, Seafood Markets, Restaurants, Seafood, Salad",American Cuisine
5138,"Restaurants, French, Tapas/Small Plates",European Cuisine
5139,"Sandwiches, Breakfast & Brunch, Food Stands, Italian, Restaurants",European Cuisine
5140,"Restaurants, Chinese, Japanese, Thai",Asian Cuisine
5141,"Salad, American (Traditional), Restaurants, American (New)",American Cuisine
5142,"Pizza, Restaurants, Gluten-Free, Vegan",European Cuisine
5143,"American (New), Breakfast & Brunch, Restaurants",American Cuisine
5144,"Italian, Sandwiches, Restaurants",European Cuisine
5145,"Restaurants, Moroccan, Afghan, Middle Eastern",Asian Cuisine
5146,"Breakfast & Brunch, American (New), Restaurants, Diners, American (Traditional)",American Cuisine
5147,"Ice Cream & Frozen Yogurt, Restaurants, Fast Food, Burgers, Food",American Cuisine
5148,"International Grocery, Food, Restaurants",Unknown
5149,"Restaurants, Ice Cream & Frozen Yogurt, Burgers, Fast Food, Food",American Cuisine
5150,"Specialty Food, Indian, Vegetarian, Seafood, Restaurants, Burgers, Wraps, Desserts, Buffets, Vegan, Food",Asian Cuisine
5151,"Restaurants, Food, Beer, Wine & Spirits, American (Traditional)",American Cuisine
5152,"Mediterranean, Restaurants, Salad",Unknown
5153,"Restaurants, Fast Food, Tex-Mex, Tacos, Mexican",South American Cuisine
5154,"Seafood, Restaurants, Sandwiches, American (New), Cafes, Breakfast & Brunch, Southern",American Cuisine
5155,"Sandwiches, Burgers, American (Traditional), Restaurants",American Cuisine
5156,"Fast Food, American (Traditional), Burgers, Restaurants",American Cuisine
5157,"Bakeries, Food, Cafes, Coffee & Tea, Cupcakes, Sandwiches, Restaurants",American Cuisine
5158,"Salad, Restaurants, Gluten-Free, Pizza",European Cuisine
5159,"Restaurants, Tex-Mex, Tacos, Mexican, Seafood",South American Cuisine
5160,"Restaurants, Breakfast & Brunch, Salad, Sandwiches, Food, Soup, Bagels",American Cuisine
5161,"Puerto Rican, Caribbean, Latin American, Restaurants",South American Cuisine
5162,"Food, Seafood, Sandwiches, Restaurants, Specialty Food, Seafood Markets",Unknown
5163,"Restaurants, Burgers, Italian, Salad, Pizza",European Cuisine
5164,"Restaurants, Coffee & Tea, Pizza, Food, Ice Cream & Frozen Yogurt",European Cuisine
5165,"Restaurants, Food, Cajun/Creole",American Cuisine
5166,"Latin American, Burgers, Coffee & Tea, Restaurants, Food",South American Cuisine
5167,"Coffee & Tea, Sandwiches, Cafes, Soup, Food, Restaurants",Unknown
5168,"Restaurants, Pizza, Diners",European Cuisine
5169,"Restaurants, Spanish, Basque",European Cuisine
5170,"Latin American, American (New), Restaurants, Salvadoran",South American Cuisine
5171,"Sandwiches, Restaurants, Burgers, Food, Food Trucks, Cheesesteaks",American Cuisine
5172,"Salad, Restaurants, American (Traditional), Chicken Wings, Burgers",American Cuisine
5173,"Italian, Fast Food, Chicken Wings, Restaurants, Pizza",European Cuisine
5174,"Vegetarian, American (New), Mediterranean, Sandwiches, Restaurants",American Cuisine
5175,"Fast Food, Restaurants, Burgers, American (New)",American Cuisine
5176,"American (New), Breakfast & Brunch, American (Traditional), Diners, Restaurants",American Cuisine
5177,"Restaurants, Food, Macarons, Patisserie/Cake Shop, Custom Cakes, Specialty Food, Desserts, Bakeries, Cupcakes",American Cuisine
5178,"Thai, Asian Fusion, Restaurants, Vietnamese",Asian Cuisine
5179,"Restaurants, Food, Mexican, Specialty Food, Fast Food",South American Cuisine
5180,"American (Traditional), Ice Cream & Frozen Yogurt, Restaurants, Food, Burgers",American Cuisine
5181,"Caribbean, Food, Restaurants, Food Trucks",South American Cuisine
5182,"Coffee & Tea, Food, Restaurants, Internet Cafes, Breakfast & Brunch",American Cuisine
5183,"American (Traditional), Fast Food, Restaurants, Chicken Wings, Food, Seafood, Sandwiches, Wraps, Burgers",American Cuisine
5184,"Food, Seafood Markets, Delis, Specialty Food, Meat Shops, Butcher, Restaurants",Unknown
5185,"American (Traditional), Mexican, Restaurants, Caribbean, Puerto Rican",South American Cuisine
5186,"Restaurants, Food, Specialty Food, Ethnic Food, African, Caribbean",South American Cuisine
5187,"Restaurants, Chicken Shop, Bubble Tea, Chicken Wings, Food, Korean",Asian Cuisine
5188,"Restaurants, Food Trucks, Food Stands, Sandwiches, Food",Unknown
5189,"Restaurants, Desserts, French, Food, Creperies",European Cuisine
5190,"Grocery, Food, Restaurants, Tacos, Mexican",South American Cuisine
5191,"Cafes, Breakfast & Brunch, Restaurants, Salad, Food, Coffee & Tea",American Cuisine
5192,"Thai, Restaurants, Food Trucks, Food",Asian Cuisine
5193,"Salad, Restaurants, Burgers, Soul Food",American Cuisine
5194,"Sandwiches, Delis, Restaurants, Hot Dogs",American Cuisine
5195,"Burgers, Chinese, American (New), Restaurants",Asian Cuisine
5196,"Fast Food, Diners, American (New), Restaurants, Burgers, Breakfast & Brunch, American (Traditional)",American Cuisine
5197,"Breakfast & Brunch, Restaurants, Food, Diners, Bakeries",American Cuisine
5198,"Salad, Restaurants, Pizza, Gluten-Free, Italian",European Cuisine
5199,"Grocery, Food, Bakeries, Beer, Wine & Spirits, Delis, Restaurants",Unknown
5200,"Restaurants, Burgers, Fast Food, Food, Ice Cream & Frozen Yogurt",American Cuisine
5201,"Coffee & Tea, Food, Breakfast & Brunch, Donuts, Restaurants",American Cuisine
5202,"Pasta Shops, Seafood, Mexican, Restaurants, Food, Specialty Food, Italian",South American Cuisine
5203,"Ice Cream & Frozen Yogurt, Restaurants, Food, Soup, Hot Dogs",American Cuisine
5204,"Restaurants, Southern, Soul Food",American Cuisine
5205,"Restaurants, American (New), Burgers, Fast Food, Steakhouses",American Cuisine
5206,"Ethnic Food, Specialty Food, Restaurants, Food, Pizza",European Cuisine
5207,"American (New), Restaurants, Cajun/Creole",American Cuisine
5208,"American (Traditional), Restaurants, Fast Food, Cajun/Creole, Chicken Wings",American Cuisine
5209,"Chicken Wings, Sandwiches, Italian, Restaurants, Pizza",European Cuisine
5210,"Food, Cafes, Coffee & Tea, Coffee Roasteries, Restaurants, Themed Cafes",Unknown
5211,"Ethnic Food, Specialty Food, Meat Shops, Delis, Grocery, Food, Restaurants, Cuban",South American Cuisine
5212,"Fast Food, Restaurants, Breakfast & Brunch, Chicken Shop, Chicken Wings",American Cuisine
5213,"Italian, Pizza, Sandwiches, Restaurants",European Cuisine
5214,"Kebab, Mediterranean, Greek, Restaurants, Sandwiches",European Cuisine
5215,"Food, Sandwiches, Ice Cream & Frozen Yogurt, Comfort Food, Breakfast & Brunch, Diners, Restaurants, Desserts",American Cuisine
5216,"Fast Food, Greek, Italian, Restaurants",European Cuisine
5217,"Restaurants, Chicken Shop, Vietnamese",Asian Cuisine
5218,"Haitian, Bakeries, Soul Food, Caribbean, Restaurants, Food",South American Cuisine
5219,"Italian, Pizza, Restaurants, Seafood",European Cuisine
5220,"American (New), Restaurants, Food, Sandwiches, Comfort Food",American Cuisine
5221,"American (New), Vegetarian, Restaurants, Burgers",American Cuisine
5222,"Restaurants, Halal, American (Traditional), Bakeries, Food, Soul Food",Middle Eastern / African Cuisine
5223,"Indian, Food, Soup, Desserts, Restaurants",Asian Cuisine
5224,"Imported Food, Food, Specialty Food, Ethnic Food, Restaurants, Vietnamese",Asian Cuisine
5225,"Greek, Restaurants, Mexican, Breakfast & Brunch",South American Cuisine
5226,"Restaurants, Ice Cream & Frozen Yogurt, Food, Burgers, Hot Dogs, Sandwiches",American Cuisine
5227,"Food, American (Traditional), Comfort Food, Sandwiches, Canadian (New), Coffee & Tea, Diners, Restaurants, Desserts, Vegetarian, Vegan, Breakfast & Brunch, Gluten-Free",American Cuisine
5228,"Chicken Shop, Restaurants, American (Traditional), Chicken Wings, Fast Food",American Cuisine
5229,"Sandwiches, Burgers, Food, Fast Food, Restaurants, Coffee & Tea",American Cuisine
5230,"American (New), Beer, Wine & Spirits, Food, Sandwiches, Restaurants",American Cuisine
5231,"Food, Vietnamese, Restaurants, Bubble Tea",Asian Cuisine
5232,"Turkish, Restaurants",Middle Eastern / African Cuisine
5233,"American (Traditional), Fast Food, Chicken Wings, Restaurants, Salad",American Cuisine
5234,"Breakfast & Brunch, Restaurants, Cafes, American (New), American (Traditional)",American Cuisine
5235,"Restaurants, Seafood, Steakhouses, Chicken Wings",American Cuisine
5236,"Restaurants, Food, Specialty Food, Chinese",Asian Cuisine
5237,"Ukrainian, Restaurants",European Cuisine
5238,"Pizza, Restaurants, Seafood, Sandwiches",European Cuisine
5239,"Delis, Chicken Wings, Cheesesteaks, Restaurants",American Cuisine
5240,"Fast Food, Restaurants, Pizza, Italian, Chicken Wings",European Cuisine
5241,"Restaurants, Korean, Fast Food, Chicken Wings",Asian Cuisine
5242,"Bakeries, Restaurants, Breakfast & Brunch, Food, Desserts, Comfort Food",American Cuisine
5243,"Food, Restaurants, American (Traditional), Mexican, Tex-Mex, Food Trucks, Tacos",South American Cuisine
5244,"Restaurants, Beer, Wine & Spirits, Food, Cheesesteaks, Steakhouses",American Cuisine
5245,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",American Cuisine
5246,"Food, American (Traditional), Fast Food, Ice Cream & Frozen Yogurt, Burgers, Restaurants",American Cuisine
5247,"Coffee & Tea, Breakfast & Brunch, Food, Salad, Bagels, Sandwiches, Bakeries, Restaurants, Soup",American Cuisine
5248,"Chicken Wings, Fast Food, Restaurants, Italian, Pizza",European Cuisine
5249,"Restaurants, Seafood, American (Traditional), Burgers",American Cuisine
5250,"Live/Raw Food, Food, Seafood, Restaurants, Specialty Food",Unknown
5251,"Food, Imported Food, Specialty Food, Indian, Restaurants, Ethnic Food, Buffets",Asian Cuisine
5252,"Food, Restaurants, Indian, Ethnic Food, Specialty Food, Grocery",Asian Cuisine
5253,"Grocery, Restaurants, Diners, Food",American Cuisine
5254,"Restaurants, Food, Food Stands, Grocery, Butcher",Unknown
5255,"Food, Breakfast & Brunch, Grocery, Modern European, Delis, Restaurants",European Cuisine
5256,"Coffee & Tea, Cafes, Food, Breakfast & Brunch, American (New), Restaurants, American (Traditional)",American Cuisine
5257,"Restaurants, Mediterranean, Pizza, Burgers, Breakfast & Brunch, Turkish, Kebab",Middle Eastern / African Cuisine
5258,"Fish & Chips, Restaurants, Fast Food, Seafood, American (Traditional)",American Cuisine
5259,"Restaurants, American (New), Food Trucks, Food, Mexican",South American Cuisine
5260,"Food Trucks, Local Flavor, Sandwiches, Food, Food Court, Soup, Salad, Restaurants",Unknown
5261,"Latin American, Restaurants, Salvadoran",South American Cuisine
5262,"Restaurants, Soup, Bagels, Food, Salad, Breakfast & Brunch, Sandwiches",American Cuisine
5263,"Restaurants, Sandwiches, Breakfast & Brunch, Italian, Seafood",European Cuisine
5264,"American (New), Sandwiches, Food, Restaurants, Street Vendors, Breakfast & Brunch",American Cuisine
5265,"Restaurants, Butcher, Specialty Food, Food, Ethnic Food, Imported Food, Sandwiches, Meat Shops, Grocery",Unknown
5266,"Restaurants, Food, Chinese, Taiwanese",Asian Cuisine
5267,"Sandwiches, Food, Cupcakes, Bakeries, Restaurants",American Cuisine
5268,"Mexican, Gluten-Free, Vegetarian, Restaurants, Vegan",South American Cuisine
5269,"Restaurants, American (New), Breakfast & Brunch, Burgers",American Cuisine
5270,"Diners, Seafood, Restaurants",American Cuisine
5271,"Food, Restaurants, Brasseries, Breweries, Distilleries, Gastropubs",European Cuisine
5272,"Restaurants, Tapas/Small Plates, Wraps, American (New), Burgers",European Cuisine
5273,"American (Traditional), American (New), Nightlife, Restaurants, Seafood, Cafes",American Cuisine
5274,"Salad, Soup, Sandwiches, Restaurants, Comfort Food, Burgers",American Cuisine
5275,"Fast Food, Southern, Restaurants, Chicken Wings",American Cuisine
5276,"Food, Bagels, Restaurants, Sandwiches, Breakfast & Brunch",American Cuisine
5277,"American (Traditional), Seafood, Breakfast & Brunch, Restaurants, Diners, Food, Desserts",American Cuisine
5278,"Food, Specialty Food, Delis, Cheese Shops, Restaurants, Cheesesteaks, Cafes, Sandwiches",American Cuisine
5279,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",American Cuisine
5280,"Southern, Grocery, Restaurants, Food",American Cuisine
5281,"Breakfast & Brunch, Comfort Food, Restaurants",American Cuisine
5282,"Latin American, Chicken Shop, Fast Food, Restaurants, Caribbean, Cuban",South American Cuisine
5283,"Restaurants, Bakeries, Vegan, Food, Desserts",Unknown
5284,"Food, Food Trucks, Restaurants, American (Traditional), Asian Fusion, American (New), Street Vendors",Asian Cuisine
5285,"Food Stands, Restaurants, Local Flavor",Unknown
5286,"Coffee & Tea, Restaurants, Bakeries, Desserts, Sandwiches, Food",Unknown
5287,"Burgers, Pizza, Restaurants, Sandwiches, American (Traditional), Cheesesteaks, Chicken Wings",European Cuisine
5288,"Restaurants, Steakhouses, Peruvian, Seafood",American Cuisine
5289,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",American Cuisine
5290,"Middle Eastern, Restaurants, Mediterranean, Syrian",Middle Eastern / African Cuisine
5291,"Food, American (New), Diners, Restaurants, American (Traditional)",American Cuisine
5292,"Fast Food, Restaurants, Food, Burgers, American (New)",American Cuisine
5293,"Korean, Soup, Restaurants, Noodles",Asian Cuisine
5294,"Salad, Restaurants, Breakfast & Brunch, Burgers, American (Traditional)",American Cuisine
5295,"Coffee & Tea, Food, Restaurants, Coffee Roasteries, Sandwiches, Breakfast & Brunch, Desserts",American Cuisine
5296,"Caribbean, Puerto Rican, Restaurants, Latin American",South American Cuisine
5297,"Food, Burgers, American (Traditional), Restaurants",American Cuisine
5298,"Specialty Food, Food, Local Flavor, Restaurants, Mexican, Ethnic Food",South American Cuisine
5299,"Chicken Wings, Restaurants, Beer, Wine & Spirits, Sandwiches, Food, Pizza, Italian",European Cuisine
5300,"Restaurants, Filipino, Food, Bakeries",Asian Cuisine
5301,"Restaurants, Salad, Fast Food, Chicken Wings",American Cuisine
5302,"Italian, Soul Food, Sardinian, Calabrian, Restaurants, Southern",European Cuisine
5303,"Restaurants, Desserts, Food, Salad, Seafood",Unknown
5304,"Bakeries, Delis, Italian, Restaurants, Food",European Cuisine
5305,"Fast Food, Restaurants, Italian, Modern European",European Cuisine
5306,"Fast Food, Sandwiches, Restaurants, Chicken Wings, Seafood",American Cuisine
5307,"Restaurants, Food, Sandwiches, Bakeries",Unknown
5308,"Food Trucks, Waffles, Food, Chicken Wings, Restaurants, Sandwiches",American Cuisine
5309,"American (Traditional), Pizza, Restaurants",European Cuisine
5310,"Somali, Restaurants, Middle Eastern",Middle Eastern / African Cuisine
5311,"Food, Chinese, Restaurants",Asian Cuisine
5312,"Asian Fusion, Chinese, Restaurants, Halal",Asian Cuisine
5313,"Food, Ice Cream & Frozen Yogurt, Diners, Restaurants",American Cuisine
5314,"Pizza, Restaurants, Bakeries, Vegetarian, Food",European Cuisine
5315,"Restaurants, Fast Food, Mexican, Tex-Mex, Tacos, Breakfast & Brunch",South American Cuisine
5316,"Mexican, Tacos, Food, Restaurants, Food Trucks, Tex-Mex",South American Cuisine
5317,"Restaurants, Cafes, Food, Breakfast & Brunch",American Cuisine
